M,N,D
100,400,126.75
200,400,96.1
300,400,82.05
400,400,77.3
500,400,59.7
600,400,67.6
700,400,48.95
800,400,51.85
900,400,42.95
1000,400,48.2
1100,400,40.2
1200,400,32.3
1300,400,34
1400,400,28.1
1500,400,33.85
1600,400,25.05
1700,400,33.5
1800,400,23.3
1900,400,23.45
2000,400,31.15
2100,400,28.95
2200,400,35.15
2300,400,26.15
2400,400,36.3
2500,400,16.5
2600,400,24.2
2700,400,21.6
2800,400,28.25
2900,400,17
3000,400,19.7
3100,400,21.95
3200,400,21.8
3300,400,13.45
3400,400,23.05
3500,400,17.3
3600,400,15
3700,400,19.5
3800,400,33.45
3900,400,26.25
4000,400,19.05
4100,400,16.2
4200,400,16.35
4300,400,22.85
4400,400,15.6
4500,400,14.55
4600,400,30.55
4700,400,22
4800,400,32.55
4900,400,28.8
5000,400,23.8
5100,400,28.75
5200,400,28.95
5300,400,25.85
5400,400,28.15
5500,400,21
5600,400,30.5
5700,400,24.25
5800,400,18
5900,400,18.7
6000,400,26.7
6100,400,25.9
6200,400,14.45
6300,400,16.45
6400,400,23.25
6500,400,22.15
6600,400,20.4
6700,400,24.9
6800,400,22.7
6900,400,23.9
7000,400,34.15
7100,400,22.05
7200,400,26.5
7300,400,33.1
7400,400,20.5
7500,400,15.65
7600,400,26.75
7700,400,25.5
7800,400,28.95
7900,400,27.4
8000,400,25.2
8100,400,33.9
8200,400,27.7
8300,400,17.85
8400,400,23.1
8500,400,19.5
8600,400,25.3
8700,400,25.1
8800,400,23.5
8900,400,25.85
9000,400,28.1
9100,400,18.4
9200,400,22.15
9300,400,15.7
9400,400,29.65
9500,400,22.85
9600,400,28.4
9700,400,19.3
9800,400,21.35
9900,400,28.95
10000,400,24.75
10100,400,20.55
10200,400,28.65
10300,400,17.95
10400,400,18.7
10500,400,16.85
10600,400,25
10700,400,19.85
10800,400,29.15
10900,400,34.05
11000,400,28.65
11100,400,25.9
11200,400,21.55
11300,400,16.6
11400,400,25.7
